GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,"Less than $10,000"
VD03,"$10,000 to $14,999"
VD04,"$15,000 to $19,999"
VD05,"$20,000 to $24,999"
VD06,"$25,000 to $29,999"
VD07,"$30,000 to $34,999"
VD08,"$35,000 to $39,999"
VD09,"$40,000 to $44,999"
VD10,"$45,000 to $49,999"
VD11,"$50,000 to $59,999"
VD12,"$60,000 to $74,999"
VD13,"$75,000 to $99,999"
VD14,"$100,000 to $124,999"
VD15,"$125,000 to $149,999"
VD16,"$150,000 to $199,999"
VD17,"$200,000 or more"
