GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",859,48,45,16,31,18,59,35,31,8,70,105,68,115,52,39,119
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",1303,63,0,66,44,22,75,54,94,86,147,174,57,151,131,87,52
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",246,16,6,10,23,10,13,8,13,12,16,31,23,24,8,15,18
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",118,6,10,15,0,12,9,16,3,10,15,0,15,7,0,0,0
1500000US360470002002,360470002002,"Block Group 2, Census Tract 2, Kings County, New York",232,46,29,18,25,19,23,10,4,5,14,16,12,0,11,0,0
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",553,24,0,10,0,56,11,24,13,13,75,35,121,79,0,29,63
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",524,21,0,0,16,0,10,32,49,9,32,59,90,34,42,20,110
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",523,12,29,0,9,0,6,39,14,8,68,87,45,34,31,47,94
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",305,22,12,0,17,0,8,9,7,0,25,10,54,58,0,16,67
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",488,0,56,0,0,20,47,0,35,24,23,42,33,23,56,40,89
1500000US360470003021,360470003021,"Block Group 1, Census Tract 3.02, Kings County, New York",123,0,10,0,11,0,0,0,0,0,0,0,28,22,19,0,33
1500000US360470005001,360470005001,"Block Group 1, Census Tract 5, Kings County, New York",827,27,30,41,47,30,10,63,39,31,83,90,103,29,30,77,97
1500000US360470005002,360470005002,"Block Group 2, Census Tract 5, Kings County, New York",828,69,0,0,56,11,48,72,35,45,34,100,104,67,43,57,87
1500000US360470005003,360470005003,"Block Group 3, Census Tract 5, Kings County, New York",525,24,25,0,0,0,12,17,27,68,25,24,58,104,12,31,98
1500000US360470005004,360470005004,"Block Group 4, Census Tract 5, Kings County, New York",547,122,33,11,25,36,0,21,28,0,23,49,26,30,14,53,76
1500000US360470005005,360470005005,"Block Group 5, Census Tract 5, Kings County, New York",888,50,41,0,50,0,73,45,47,20,84,76,110,84,59,93,56
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",754,19,14,25,37,26,57,7,25,45,99,49,68,45,29,49,160
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",555,62,24,12,11,11,52,16,55,19,50,66,64,21,20,32,40
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",516,10,0,25,40,8,30,5,17,9,22,52,75,47,16,40,120
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",682,76,29,19,33,7,6,20,22,33,21,62,125,44,50,52,83
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",366,40,9,0,10,7,7,0,23,19,45,25,35,29,59,19,39
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",75,0,0,0,0,42,25,0,0,0,0,0,8,0,0,0,0
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1147,34,45,30,18,50,69,68,62,53,159,159,145,127,60,34,34
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",34,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",116,20,5,22,11,0,17,3,0,4,5,9,14,0,0,6,0
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",140,22,39,20,6,26,3,0,0,0,8,11,5,0,0,0,0
1500000US360470020003,360470020003,"Block Group 3, Census Tract 20, Kings County, New York",179,34,0,10,14,19,17,14,26,7,16,8,10,0,4,0,0
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",132,23,14,0,5,0,12,0,0,13,11,7,21,6,8,0,12
1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",102,20,0,0,8,0,0,0,0,12,10,27,7,18,0,0,0
1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",101,0,0,0,21,0,14,11,0,0,0,8,11,22,8,0,6
1500000US360470021004,360470021004,"Block Group 4, Census Tract 21, Kings County, New York",165,6,0,9,0,22,0,0,0,0,0,0,0,15,28,17,68
1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",293,60,28,20,13,35,24,27,0,4,11,30,36,5,0,0,0
1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",413,74,147,18,19,17,11,17,6,34,32,17,10,11,0,0,0
1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",761,73,82,56,66,49,77,36,34,48,64,60,33,29,20,17,17
1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",1513,764,134,174,69,121,70,62,42,13,9,18,31,0,0,6,0
1500000US360470025001,360470025001,"Block Group 1, Census Tract 25, Kings County, New York",629,274,86,54,43,22,13,36,22,24,11,36,0,8,0,0,0
1500000US360470025002,360470025002,"Block Group 2, Census Tract 25, Kings County, New York",134,0,0,25,0,22,0,23,0,23,0,0,21,20,0,0,0
1500000US360470027001,360470027001,"Block Group 1, Census Tract 27, Kings County, New York",59,35,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0
1500000US360470027002,360470027002,"Block Group 2, Census Tract 27, Kings County, New York",97,0,26,8,0,0,12,0,0,14,9,0,0,9,0,19,0
1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",1051,471,169,86,44,69,27,11,63,51,14,19,18,9,0,0,0
1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",246,102,33,34,10,11,23,10,10,0,0,0,13,0,0,0,0
1500000US360470029021,360470029021,"Block Group 1, Census Tract 29.02, Kings County, New York",241,52,18,8,33,11,14,21,7,0,9,9,49,10,0,0,0
1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",356,41,22,8,20,6,8,27,17,0,25,64,35,31,0,35,17
1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",419,65,0,20,31,24,12,32,16,12,37,54,42,16,31,13,14
1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
