GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",308,73,54,48,14,22,0,12,0,12,0,12,0,12,5,8,5,8,6,11,13,21,21,27,37,37,22,25,5,8,39,35,87,70
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",291,86,33,36,15,23,0,12,0,12,0,12,46,56,40,64,12,20,0,12,0,12,13,20,0,12,13,22,0,12,0,12,119,63
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",710,114,33,39,51,80,0,12,27,31,13,21,58,56,0,12,0,12,16,24,14,22,29,34,151,75,96,53,33,39,118,73,71,42
1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",797,126,47,43,30,33,21,33,88,76,0,12,35,33,0,12,45,72,0,12,79,76,108,85,107,59,23,28,59,43,32,37,123,73
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",371,51,48,43,5,7,48,35,21,24,29,24,45,43,27,33,5,6,19,22,47,32,23,28,16,20,33,23,0,12,5,8,0,12
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",416,114,0,12,0,12,16,25,74,78,0,12,0,12,0,12,15,24,10,17,10,17,0,12,16,20,84,62,78,87,30,35,83,50
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",455,122,0,12,0,12,43,72,10,16,11,17,18,27,65,95,0,12,0,12,15,24,33,31,64,50,10,15,0,12,20,24,166,80
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",392,87,22,37,0,12,0,12,0,12,37,43,0,12,0,12,18,30,8,13,0,12,57,46,0,12,20,23,0,12,61,43,169,59
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",461,116,46,34,39,44,0,12,0,12,0,12,42,68,27,41,24,37,14,21,0,12,30,28,23,25,51,37,0,12,61,78,104,101
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",222,88,0,12,0,12,0,12,21,34,0,12,0,12,0,12,0,12,0,12,21,34,0,12,72,71,9,15,19,31,0,12,80,44
1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",793,125,45,52,36,37,40,59,16,24,13,20,12,22,41,38,0,12,9,14,50,58,104,68,70,53,125,51,52,45,26,31,154,62
1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York",511,110,38,45,44,32,25,29,24,38,10,16,10,17,0,12,0,12,0,12,0,12,41,29,72,70,42,36,35,58,99,66,71,47
1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York",477,109,17,25,27,33,0,12,0,12,0,12,34,39,0,12,0,12,0,12,53,44,15,25,63,58,0,12,59,38,38,28,171,75
1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York",795,98,9,16,18,32,19,21,6,12,7,10,38,60,26,42,10,15,75,68,27,30,46,29,217,93,92,71,70,50,32,28,103,56
1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",644,116,19,30,16,26,56,61,72,64,8,13,13,20,9,15,7,11,8,13,18,23,29,27,56,44,94,69,36,28,90,54,113,71
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",763,133,26,27,0,12,9,15,22,24,20,24,11,17,7,11,0,12,9,16,0,12,90,83,40,57,134,78,61,44,73,42,261,106
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",376,68,0,12,8,13,10,15,19,21,39,36,0,12,13,22,0,12,8,12,10,16,27,28,20,22,33,29,39,35,51,38,99,44
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",761,106,40,36,0,12,0,12,9,14,18,22,31,28,0,12,44,47,0,12,35,39,14,16,65,43,63,69,92,60,71,56,279,105
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",1116,145,74,66,17,21,0,12,0,12,25,33,15,17,11,17,26,29,57,45,47,42,138,68,110,48,145,74,48,36,96,59,307,87
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",934,149,69,58,0,12,8,12,45,47,24,37,32,38,36,41,8,12,0,12,49,63,12,17,45,44,85,50,30,31,187,108,304,109
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",313,31,0,12,7,9,0,12,4,6,0,12,0,12,3,6,9,11,0,12,21,19,30,21,40,25,48,28,40,30,90,46,21,20
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",883,70,13,16,10,11,5,9,25,18,9,10,0,12,39,38,5,8,43,30,39,27,43,29,151,57,133,52,113,45,137,57,118,41
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York",582,90,0,12,8,13,0,12,0,12,11,18,13,21,0,12,9,14,8,13,28,25,60,48,64,37,135,61,48,39,99,50,99,51
1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",524,98,131,56,78,39,57,38,54,45,49,38,43,37,23,24,22,32,8,14,18,21,19,21,6,11,0,12,10,16,0,12,6,9
1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York",969,118,63,58,32,35,22,35,17,28,15,25,49,44,9,13,41,35,21,33,18,19,68,51,162,74,80,51,45,35,113,53,214,83
1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",188,53,9,11,8,13,8,14,11,19,13,20,47,36,19,21,10,15,0,12,0,12,9,13,16,18,20,23,7,11,0,12,11,16
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",236,55,6,9,0,12,12,18,13,15,16,21,0,12,5,8,0,12,0,12,20,23,42,42,58,33,30,32,16,17,12,18,6,9
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",461,92,7,12,10,17,0,12,0,12,0,12,0,12,0,12,0,12,8,12,9,15,6,9,44,37,20,22,15,25,28,27,314,87
1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",646,110,0,12,0,12,0,12,0,12,16,20,16,18,0,12,0,12,0,12,0,12,0,12,62,55,53,58,26,31,203,81,270,90
1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",450,98,0,12,0,12,0,12,28,46,0,12,11,17,24,23,9,14,0,12,17,21,8,13,67,54,44,29,60,64,24,21,158,78
1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",445,89,20,34,45,50,43,41,57,46,88,76,0,12,52,48,0,12,25,31,30,34,31,38,0,12,9,14,17,28,11,17,17,28
1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",431,96,26,24,87,45,83,72,25,28,0,12,0,12,7,11,0,12,9,17,25,38,25,30,64,48,71,59,0,12,9,14,0,12
1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",700,94,68,48,21,20,19,19,90,72,16,21,29,29,77,52,48,45,22,24,32,26,81,49,34,34,79,49,44,31,40,38,0,12
1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",561,115,138,75,93,88,104,73,44,66,39,43,0,12,54,52,21,23,0,12,54,55,8,12,0,12,0,12,6,11,0,12,0,12
1500000US360470023002,360470023002,"Block Group 2, Census Tract 23, Kings County, New York",568,97,168,86,68,57,100,66,32,28,33,31,38,31,22,31,7,11,35,39,24,25,0,12,41,35,0,12,0,12,0,12,0,12
1500000US360470023003,360470023003,"Block Group 3, Census Tract 23, Kings County, New York",432,78,131,62,87,56,10,15,15,18,7,11,45,36,0,12,16,27,22,37,47,33,25,34,18,29,9,16,0,12,0,12,0,12
1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",1024,84,439,119,122,65,95,64,75,57,100,48,41,45,50,44,75,48,0,12,7,12,0,12,10,16,10,17,0,12,0,12,0,12
1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",228,73,140,68,39,36,0,12,0,12,10,19,0,12,0,12,9,14,0,12,9,17,13,23,0,12,8,13,0,12,0,12,0,12
1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",327,60,10,12,37,48,0,12,4,6,14,13,13,12,0,12,15,17,10,15,88,49,9,11,43,32,38,28,6,10,16,18,24,20
