GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",99896,62051
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",42396,205413
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",95526,10879
1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",68393,12890
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",33906,5772
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",120375,18781
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",77560,96417
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",174100,52098
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",82361,59456
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",99500,103553
1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",90563,30675
1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York",98068,50615
1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York",130298,47904
1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York",91208,9689
1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",113250,53627
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",131023,39266
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",135192,33965
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",142292,34040
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",106094,20132
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",166667,57801
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",120208,37036
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",108170,10300
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",-,**
1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York",111389,18272
1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",19737,3954
1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York",92566,14869
1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",-,**
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",-,**
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",34857,6364
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",75476,4501
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York","250,000+",***
