GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",1867,1053
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",1450,315
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",1558,211
1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",944,230
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",1228,122
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York","2,000+",***
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",1535,366
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York","2,000+",***
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",1795,165
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",-,**
1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",1708,393
1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York","2,000+",***
1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York","2,000+",***
1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York","2,000+",***
1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",1748,289
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",1733,128
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",1944,235
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York","2,000+",***
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York","2,000+",***
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York","2,000+",***
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York","2,000+",***
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1765,438
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",-,**
1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York","2,000+",***
1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",427,86
1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York","2,000+",***
1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",-,**
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",-,**
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",1321,89
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",1318,794
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York","2,000+",***
1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York","2,000+",***
1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York","2,000+",***
1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",1268,111
1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",991,157
1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",1074,85
1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",387,224
1500000US360470023002,360470023002,"Block Group 2, Census Tract 23, Kings County, New York",415,123
1500000US360470023003,360470023003,"Block Group 3, Census Tract 23, Kings County, New York",358,110
1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",344,61
1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",372,86
1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",1395,853
1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",1323,171
1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",1468,193
1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",-,**
1500000US360470031003,360470031003,"Block Group 3, Census Tract 31, Kings County, New York",1277,450
1500000US360470033001,360470033001,"Block Group 1, Census Tract 33, Kings County, New York",1642,220
1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York","2,000+",***
1500000US360470034000,360470034000,"Block Group 0, Census Tract 34, Kings County, New York",-,**
1500000US360470034001,360470034001,"Block Group 1, Census Tract 34, Kings County, New York",1173,107
1500000US360470034002,360470034002,"Block Group 2, Census Tract 34, Kings County, New York",1408,145
1500000US360470034003,360470034003,"Block Group 3, Census Tract 34, Kings County, New York",1613,249
