GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",182,74,0,12,41,66,31,36,18,26,11,20,0,12,0,12,14,22,67,51,0,12
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",188,80,0,12,43,42,0,12,13,20,13,22,0,12,40,64,18,29,61,46,0,12
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",502,122,71,63,33,31,31,32,99,51,102,72,15,24,0,12,32,35,119,83,0,12
1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",195,96,28,34,14,23,14,24,17,26,61,76,0,12,0,12,0,12,31,35,30,36
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",327,51,0,12,21,24,21,21,42,32,16,17,0,12,52,39,58,36,92,44,25,37
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",242,104,0,12,0,12,107,90,50,79,35,40,7,12,0,12,10,17,33,26,0,12
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",198,97,19,25,15,24,0,12,36,33,14,23,15,24,0,12,81,98,18,27,0,12
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",199,71,19,21,36,36,56,46,0,12,30,33,0,12,0,12,0,12,54,42,4,12
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",259,109,28,43,46,75,19,31,0,12,12,19,0,12,0,12,27,41,100,85,27,32
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",34,40,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,0,12
1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",296,115,8,12,10,17,52,40,41,40,61,63,0,12,24,33,0,12,42,49,58,63
1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York",363,106,27,32,12,19,62,57,48,58,24,26,124,70,44,61,0,12,12,18,10,17
1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York",304,89,0,12,29,34,54,45,62,53,53,42,17,27,34,39,0,12,27,33,28,30
1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York",325,87,0,12,22,28,32,31,9,14,77,55,63,55,34,30,23,22,56,55,9,16
1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",463,107,57,46,32,35,67,44,107,86,22,25,9,17,9,15,21,24,139,66,0,12
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",501,127,154,106,6,10,77,45,98,72,25,28,9,16,0,12,20,23,107,85,5,7
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",158,57,0,12,22,26,28,26,51,36,26,22,0,12,0,12,10,16,21,24,0,12
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",407,97,31,38,48,48,36,35,84,72,74,50,11,17,9,15,35,38,79,47,0,12
