,GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,geometry
0,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",
1,1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",859,48,45,16,31,18,59,35,31,8,70,105,68,115,52,39,119,"POLYGON ((-73.99669799999999 40.700877, -73.995138 40.70298, -73.995069 40.703102, -73.993267 40.702435, -73.99261199999999 40.702061, -73.993672 40.699836, -73.995379 40.700309, -73.99600099999999 40.699007, -73.9975 40.699653, -73.99669799999999 40.700877))"
2,1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",1303,63,0,66,44,22,75,54,94,86,147,174,57,151,131,87,52,"POLYGON ((-73.995379 40.700309, -73.993672 40.699836, -73.994292 40.698535, -73.99514499999999 40.698774, -73.99600099999999 40.699007, -73.995379 40.700309))"
3,1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",246,16,6,10,23,10,13,8,13,12,16,31,23,24,8,15,18,"POLYGON ((-73.993672 40.699836, -73.99261199999999 40.702061, -73.99093499999999 40.700767, -73.99103099999999 40.699845, -73.991759 40.700049, -73.99271 40.698097, -73.994292 40.698535, -73.993672 40.699836))"
4,1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",118,6,10,15,0,12,9,16,3,10,15,0,15,7,0,0,0,"POLYGON ((-74.012844 40.653016, -74.01504799999999 40.654362, -74.01389499999999 40.655466, -74.011684 40.654135, -74.01110299999999 40.654695, -74.010493 40.655276, -74.00878999999999 40.656963, -74.006231 40.6554, -74.007977 40.653727, -74.008545 40.65320000000001, -74.01030799999999 40.651483, -74.010915 40.650938, -74.011477 40.650363, -74.01262899999999 40.649235, -74.01518399999999 40.650773, -74.012844 40.653016))"
5,1500000US360470002002,360470002002,"Block Group 2, Census Tract 2, Kings County, New York",232,46,29,18,25,19,23,10,4,5,14,16,12,0,11,0,0,
6,1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",553,24,0,10,0,56,11,24,13,13,75,35,121,79,0,29,63,"POLYGON ((-73.997078 40.696311, -73.99600099999999 40.699007, -73.99514499999999 40.698774, -73.99641299999999 40.696131, -73.997078 40.696311))"
7,1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",524,21,0,0,16,0,10,32,49,9,32,59,90,34,42,20,110,"POLYGON ((-73.99641299999999 40.696131, -73.99514499999999 40.698774, -73.994292 40.698535, -73.99532599999999 40.696378, -73.995547 40.695892, -73.99641299999999 40.696131))"
8,1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",523,12,29,0,9,0,6,39,14,8,68,87,45,34,31,47,94,"POLYGON ((-73.997078 40.696311, -73.99641299999999 40.696131, -73.995547 40.695892, -73.99585499999999 40.695221, -73.996197 40.694507, -73.997699 40.694983, -73.997078 40.696311))"
9,1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",305,22,12,0,17,0,8,9,7,0,25,10,54,58,0,16,67,"POLYGON ((-74.000277 40.694959, -73.999461 40.69628, -73.998257 40.695898, -73.997699 40.694983, -73.996197 40.694507, -73.99671599999999 40.693439, -73.997609 40.693601, -74.00002499999999 40.694097, -74.00070099999999 40.694388, -74.000277 40.694959))"
10,1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",488,0,56,0,0,20,47,0,35,24,23,42,33,23,56,40,89,"POLYGON ((-73.99942 40.696361, -73.998847 40.69714099999999, -73.99837599999999 40.698048, -73.99803199999999 40.69876199999999, -73.9975 40.699653, -73.99600099999999 40.699007, -73.997078 40.696311, -73.997699 40.694983, -73.998257 40.695898, -73.999461 40.69628, -73.99942 40.696361))"
11,1500000US360470003021,360470003021,"Block Group 1, Census Tract 3.02, Kings County, New York",123,0,10,0,11,0,0,0,0,0,0,0,28,22,19,0,33,
12,1500000US360470005001,360470005001,"Block Group 1, Census Tract 5, Kings County, New York",827,27,30,41,47,30,10,63,39,31,83,90,103,29,30,77,97,
13,1500000US360470005002,360470005002,"Block Group 2, Census Tract 5, Kings County, New York",828,69,0,0,56,11,48,72,35,45,34,100,104,67,43,57,87,
14,1500000US360470005003,360470005003,"Block Group 3, Census Tract 5, Kings County, New York",525,24,25,0,0,0,12,17,27,68,25,24,58,104,12,31,98,
15,1500000US360470005004,360470005004,"Block Group 4, Census Tract 5, Kings County, New York",547,122,33,11,25,36,0,21,28,0,23,49,26,30,14,53,76,
16,1500000US360470005005,360470005005,"Block Group 5, Census Tract 5, Kings County, New York",888,50,41,0,50,0,73,45,47,20,84,76,110,84,59,93,56,
17,1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",754,19,14,25,37,26,57,7,25,45,99,49,68,45,29,49,160,"POLYGON ((-74.001317 40.693208, -74.001277 40.693298, -74.00095899999999 40.694069, -74.00070099999999 40.694388, -74.00002499999999 40.694097, -73.997609 40.693601, -73.998339 40.692087, -73.995914 40.691416, -73.996233 40.690758, -73.997793 40.691188, -74.000315 40.691875, -74.001744 40.692407, -74.001317 40.693208))"
18,1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",555,62,24,12,11,11,52,16,55,19,50,66,64,21,20,32,40,"POLYGON ((-73.997609 40.693601, -73.99671599999999 40.693439, -73.99508 40.693147, -73.995914 40.691416, -73.998339 40.692087, -73.997609 40.693601))"
19,1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",516,10,0,25,40,8,30,5,17,9,22,52,75,47,16,40,120,"POLYGON ((-73.995914 40.691416, -73.99508 40.693147, -73.99310299999999 40.692846, -73.993736 40.69153499999999, -73.994361 40.690239, -73.996233 40.690758, -73.995914 40.691416))"
20,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",682,76,29,19,33,7,6,20,22,33,21,62,125,44,50,52,83,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))"
21,1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",366,40,9,0,10,7,7,0,23,19,45,25,35,29,59,19,39,"POLYGON ((-73.993736 40.69153499999999, -73.989662 40.690334, -73.99009599999999 40.689706, -73.990686 40.689142, -73.99236399999999 40.68969, -73.994361 40.690239, -73.993736 40.69153499999999))"
22,1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",75,0,0,0,0,42,25,0,0,0,0,0,8,0,0,0,0,"POLYGON ((-73.990447 40.693735, -73.990663 40.694561, -73.990746 40.695034, -73.99009199999999 40.695074, -73.987162 40.694961, -73.98514299999999 40.694885, -73.98536299999999 40.690667, -73.987348 40.691458, -73.98893199999999 40.692086, -73.990972 40.692549, -73.990447 40.693735))"
23,1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1147,34,45,30,18,50,69,68,62,53,159,159,145,127,60,34,34,"POLYGON ((-73.991407 40.69777699999999, -73.99130599999999 40.699195, -73.99103099999999 40.699845, -73.99093499999999 40.700767, -73.98972999999999 40.700734, -73.98868399999999 40.700699, -73.98789599999999 40.698758, -73.98693999999999 40.698781, -73.986969 40.698504, -73.985587 40.698446, -73.98496 40.698445, -73.98472599999999 40.696129, -73.98514299999999 40.694885, -73.987162 40.694961, -73.99009199999999 40.695074, -73.990746 40.695034, -73.991298 40.696579, -73.991365 40.69701, -73.991407 40.69777699999999))"
24,1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",34,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,"POLYGON ((-73.98868399999999 40.700699, -73.98679799999999 40.700617, -73.986813 40.699956, -73.98693999999999 40.698781, -73.98789599999999 40.698758, -73.98868399999999 40.700699))"
