,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,geometry
0,Id,Id2,Geography,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",
1,1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",308,54,14,0,0,0,0,5,5,6,13,21,37,22,5,39,87,"POLYGON ((-73.99669799999999 40.700877, -73.995138 40.70298, -73.995069 40.703102, -73.993267 40.702435, -73.99261199999999 40.702061, -73.993672 40.699836, -73.995379 40.700309, -73.99600099999999 40.699007, -73.9975 40.699653, -73.99669799999999 40.700877))"
2,1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",291,33,15,0,0,0,46,40,12,0,0,13,0,13,0,0,119,"POLYGON ((-73.995379 40.700309, -73.993672 40.699836, -73.994292 40.698535, -73.99514499999999 40.698774, -73.99600099999999 40.699007, -73.995379 40.700309))"
3,1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",710,33,51,0,27,13,58,0,0,16,14,29,151,96,33,118,71,"POLYGON ((-73.993672 40.699836, -73.99261199999999 40.702061, -73.99093499999999 40.700767, -73.99103099999999 40.699845, -73.991759 40.700049, -73.99271 40.698097, -73.994292 40.698535, -73.993672 40.699836))"
4,1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",797,47,30,21,88,0,35,0,45,0,79,108,107,23,59,32,123,"POLYGON ((-73.99271 40.698097, -73.991759 40.700049, -73.99103099999999 40.699845, -73.99130599999999 40.699195, -73.991407 40.69777699999999, -73.991365 40.69701, -73.99302 40.69746, -73.99271 40.698097))"
5,1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",371,48,5,48,21,29,45,27,5,19,47,23,16,33,0,5,0,"POLYGON ((-74.012844 40.653016, -74.01504799999999 40.654362, -74.01389499999999 40.655466, -74.011684 40.654135, -74.01110299999999 40.654695, -74.010493 40.655276, -74.00878999999999 40.656963, -74.006231 40.6554, -74.007977 40.653727, -74.008545 40.65320000000001, -74.01030799999999 40.651483, -74.010915 40.650938, -74.011477 40.650363, -74.01262899999999 40.649235, -74.01518399999999 40.650773, -74.012844 40.653016))"
6,1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",416,0,0,16,74,0,0,0,15,10,10,0,16,84,78,30,83,"POLYGON ((-73.997078 40.696311, -73.99600099999999 40.699007, -73.99514499999999 40.698774, -73.99641299999999 40.696131, -73.997078 40.696311))"
7,1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",455,0,0,43,10,11,18,65,0,0,15,33,64,10,0,20,166,"POLYGON ((-73.99641299999999 40.696131, -73.99514499999999 40.698774, -73.994292 40.698535, -73.99532599999999 40.696378, -73.995547 40.695892, -73.99641299999999 40.696131))"
8,1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",392,22,0,0,0,37,0,0,18,8,0,57,0,20,0,61,169,"POLYGON ((-73.997078 40.696311, -73.99641299999999 40.696131, -73.995547 40.695892, -73.99585499999999 40.695221, -73.996197 40.694507, -73.997699 40.694983, -73.997078 40.696311))"
9,1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",461,46,39,0,0,0,42,27,24,14,0,30,23,51,0,61,104,"POLYGON ((-74.000277 40.694959, -73.999461 40.69628, -73.998257 40.695898, -73.997699 40.694983, -73.996197 40.694507, -73.99671599999999 40.693439, -73.997609 40.693601, -74.00002499999999 40.694097, -74.00070099999999 40.694388, -74.000277 40.694959))"
