,Unnamed: 0_x,GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,geometry,Unnamed: 0_y
0,19,1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",516,10,0,25,40,8,30,5,17,9,22,52,75,47,16,40,120,"POLYGON ((-73.995914 40.691416, -73.99508 40.693147, -73.99310299999999 40.692846, -73.993736 40.69153499999999, -73.994361 40.690239, -73.996233 40.690758, -73.995914 40.691416))",23
1,20,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",682,76,29,19,33,7,6,20,22,33,21,62,125,44,50,52,83,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))",11
2,20,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",682,76,29,19,33,7,6,20,22,33,21,62,125,44,50,52,83,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))",12
3,21,1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",366,40,9,0,10,7,7,0,23,19,45,25,35,29,59,19,39,"POLYGON ((-73.993736 40.69153499999999, -73.989662 40.690334, -73.99009599999999 40.689706, -73.990686 40.689142, -73.99236399999999 40.68969, -73.994361 40.690239, -73.993736 40.69153499999999))",2
4,22,1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",75,0,0,0,0,42,25,0,0,0,0,0,8,0,0,0,0,"POLYGON ((-73.990447 40.693735, -73.990663 40.694561, -73.990746 40.695034, -73.99009199999999 40.695074, -73.987162 40.694961, -73.98514299999999 40.694885, -73.98536299999999 40.690667, -73.987348 40.691458, -73.98893199999999 40.692086, -73.990972 40.692549, -73.990447 40.693735))",10
5,23,1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1147,34,45,30,18,50,69,68,62,53,159,159,145,127,60,34,34,"POLYGON ((-73.991407 40.69777699999999, -73.99130599999999 40.699195, -73.99103099999999 40.699845, -73.99093499999999 40.700767, -73.98972999999999 40.700734, -73.98868399999999 40.700699, -73.98789599999999 40.698758, -73.98693999999999 40.698781, -73.986969 40.698504, -73.985587 40.698446, -73.98496 40.698445, -73.98472599999999 40.696129, -73.98514299999999 40.694885, -73.987162 40.694961, -73.99009199999999 40.695074, -73.990746 40.695034, -73.991298 40.696579, -73.991365 40.69701, -73.991407 40.69777699999999))",9
6,46,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))",13
7,46,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))",14
8,47,1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",83,62,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,"POLYGON ((-73.981791 40.692025, -73.97894699999999 40.691921, -73.978624 40.689831, -73.98136 40.68992799999999, -73.982079 40.691292, -73.981791 40.692025))",15
9,51,1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",676,144,0,0,50,81,34,65,12,45,37,81,18,48,0,44,17,"POLYGON ((-73.98136 40.68992799999999, -73.978624 40.689831, -73.977098 40.689773, -73.976545 40.686994, -73.97936299999999 40.686682, -73.980559 40.688351, -73.98087 40.688866, -73.98350599999999 40.689921, -73.98136 40.68992799999999))",0
