,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,geometry
0,Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Estimate; Total: - Not computed,
1,1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",182,0,41,31,18,11,0,0,14,67,0,"POLYGON ((-73.99669799999999 40.700877, -73.995138 40.70298, -73.995069 40.703102, -73.993267 40.702435, -73.99261199999999 40.702061, -73.993672 40.699836, -73.995379 40.700309, -73.99600099999999 40.699007, -73.9975 40.699653, -73.99669799999999 40.700877))"
2,1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",188,0,43,0,13,13,0,40,18,61,0,"POLYGON ((-73.995379 40.700309, -73.993672 40.699836, -73.994292 40.698535, -73.99514499999999 40.698774, -73.99600099999999 40.699007, -73.995379 40.700309))"
3,1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",502,71,33,31,99,102,15,0,32,119,0,"POLYGON ((-73.993672 40.699836, -73.99261199999999 40.702061, -73.99093499999999 40.700767, -73.99103099999999 40.699845, -73.991759 40.700049, -73.99271 40.698097, -73.994292 40.698535, -73.993672 40.699836))"
4,1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",195,28,14,14,17,61,0,0,0,31,30,"POLYGON ((-73.99271 40.698097, -73.991759 40.700049, -73.99103099999999 40.699845, -73.99130599999999 40.699195, -73.991407 40.69777699999999, -73.991365 40.69701, -73.99302 40.69746, -73.99271 40.698097))"
5,1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",327,0,21,21,42,16,0,52,58,92,25,"POLYGON ((-74.012844 40.653016, -74.01504799999999 40.654362, -74.01389499999999 40.655466, -74.011684 40.654135, -74.01110299999999 40.654695, -74.010493 40.655276, -74.00878999999999 40.656963, -74.006231 40.6554, -74.007977 40.653727, -74.008545 40.65320000000001, -74.01030799999999 40.651483, -74.010915 40.650938, -74.011477 40.650363, -74.01262899999999 40.649235, -74.01518399999999 40.650773, -74.012844 40.653016))"
6,1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",242,0,0,107,50,35,7,0,10,33,0,"POLYGON ((-73.997078 40.696311, -73.99600099999999 40.699007, -73.99514499999999 40.698774, -73.99641299999999 40.696131, -73.997078 40.696311))"
7,1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",198,19,15,0,36,14,15,0,81,18,0,"POLYGON ((-73.99641299999999 40.696131, -73.99514499999999 40.698774, -73.994292 40.698535, -73.99532599999999 40.696378, -73.995547 40.695892, -73.99641299999999 40.696131))"
8,1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",199,19,36,56,0,30,0,0,0,54,4,"POLYGON ((-73.997078 40.696311, -73.99641299999999 40.696131, -73.995547 40.695892, -73.99585499999999 40.695221, -73.996197 40.694507, -73.997699 40.694983, -73.997078 40.696311))"
9,1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",259,28,46,19,0,12,0,0,27,100,27,"POLYGON ((-74.000277 40.694959, -73.999461 40.69628, -73.998257 40.695898, -73.997699 40.694983, -73.996197 40.694507, -73.99671599999999 40.693439, -73.997609 40.693601, -74.00002499999999 40.694097, -74.00070099999999 40.694388, -74.000277 40.694959))"
10,1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",34,13,0,0,0,0,0,0,0,21,0,"POLYGON ((-73.99942 40.696361, -73.998847 40.69714099999999, -73.99837599999999 40.698048, -73.99803199999999 40.69876199999999, -73.9975 40.699653, -73.99600099999999 40.699007, -73.997078 40.696311, -73.997699 40.694983, -73.998257 40.695898, -73.999461 40.69628, -73.99942 40.696361))"
11,1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",296,8,10,52,41,61,0,24,0,42,58,"POLYGON ((-73.994292 40.698535, -73.99271 40.698097, -73.99302 40.69746, -73.993785 40.69587, -73.99532599999999 40.696378, -73.994292 40.698535))"
