,Unnamed: 0_x,GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,geometry,Unnamed: 0_y
0,1307,1500000US360470517001,360470517001,"Block Group 1, Census Tract 517, Kings County, New York",191,19,14,11,0,16,9,8,7,0,7,53,38,0,0,0,9,"POLYGON ((-73.95713099999999 40.718388, -73.951646 40.723486, -73.95064599999999 40.721705, -73.95271 40.720451, -73.953469 40.719798, -73.95525099999999 40.71814, -73.955844 40.717589, -73.95713099999999 40.718388))",107
1,1308,1500000US360470517002,360470517002,"Block Group 2, Census Tract 517, Kings County, New York",525,64,32,23,22,45,21,0,54,20,88,71,46,28,11,0,0,"POLYGON ((-73.958416 40.719189, -73.955443 40.721946, -73.954776 40.72246, -73.951646 40.723486, -73.95713099999999 40.718388, -73.958416 40.719189))",111
2,1312,1500000US360470519001,360470519001,"Block Group 1, Census Tract 519, Kings County, New York",405,87,9,21,38,21,33,49,37,39,20,10,22,9,10,0,0,"POLYGON ((-73.955844 40.717589, -73.95525099999999 40.71814, -73.953469 40.719798, -73.952477 40.719219, -73.952297 40.71814699999999, -73.952287 40.71808499999999, -73.951842 40.715442, -73.952754 40.71473599999999, -73.956439 40.717032, -73.955844 40.717589))",71
3,1313,1500000US360470519002,360470519002,"Block Group 2, Census Tract 519, Kings County, New York",248,21,27,7,22,20,30,31,21,9,33,20,7,0,0,0,0,"POLYGON ((-73.956439 40.717032, -73.952754 40.71473599999999, -73.953485 40.71406899999999, -73.95434 40.714072, -73.95599399999999 40.714092, -73.95626899999999 40.714159, -73.95822299999999 40.715374, -73.956439 40.717032))",56
4,1314,1500000US360470519003,360470519003,"Block Group 3, Census Tract 519, Kings County, New York",678,117,37,36,24,67,55,44,47,43,50,65,49,30,0,9,5,"POLYGON ((-73.958811 40.714824, -73.95822299999999 40.715374, -73.95626899999999 40.714159, -73.95599399999999 40.714092, -73.95434 40.714072, -73.95503599999999 40.712915, -73.95547599999999 40.712266, -73.95680999999999 40.712756, -73.958342 40.713306, -73.95979699999999 40.713887, -73.958811 40.714824))",6
5,1320,1500000US360470523001,360470523001,"Block Group 1, Census Tract 523, Kings County, New York",599,156,87,55,56,27,32,35,24,27,26,66,0,0,8,0,0,"POLYGON ((-73.95753499999999 40.711609, -73.95680999999999 40.712756, -73.95547599999999 40.712266, -73.95662399999999 40.710384, -73.95842499999999 40.710192, -73.95753499999999 40.711609))",45
6,1321,1500000US360470523002,360470523002,"Block Group 2, Census Tract 523, Kings County, New York",448,137,49,63,35,26,29,16,23,0,20,14,28,0,0,0,8,"POLYGON ((-73.960195 40.710355, -73.959064 40.712166, -73.95753499999999 40.711609, -73.95842499999999 40.710192, -73.960381 40.710004, -73.960195 40.710355))",49
7,1322,1500000US360470523003,360470523003,"Block Group 3, Census Tract 523, Kings County, New York",358,41,24,34,38,5,33,41,7,54,28,30,16,7,0,0,0,"POLYGON ((-73.961421 40.711349, -73.961029 40.711969, -73.960561 40.712713, -73.959064 40.712166, -73.960195 40.710355, -73.960381 40.710004, -73.962035 40.710362, -73.961421 40.711349))",40
8,1323,1500000US360470523004,360470523004,"Block Group 4, Census Tract 523, Kings County, New York",197,44,20,0,0,9,25,20,7,14,17,12,6,7,9,7,0,"POLYGON ((-73.95979699999999 40.713887, -73.958342 40.713306, -73.959064 40.712166, -73.960561 40.712713, -73.95979699999999 40.713887))",22
9,1324,1500000US360470523005,360470523005,"Block Group 5, Census Tract 523, Kings County, New York",286,85,47,7,28,9,13,29,0,18,24,7,19,0,0,0,0,"POLYGON ((-73.958342 40.713306, -73.95680999999999 40.712756, -73.95753499999999 40.711609, -73.959064 40.712166, -73.958342 40.713306))",24
10,1327,1500000US360470525001,360470525001,"Block Group 1, Census Tract 525, Kings County, New York",683,282,109,83,43,35,40,21,11,21,20,7,11,0,0,0,0,"POLYGON ((-73.96229199999999 40.709921, -73.962035 40.710362, -73.960381 40.710004, -73.95842499999999 40.710192, -73.95662399999999 40.710384, -73.957488 40.70908, -73.957904 40.708427, -73.958152 40.708041, -73.958456 40.707252, -73.959395 40.707352, -73.96114399999999 40.707524, -73.960825 40.709169, -73.962414 40.709352, -73.96229199999999 40.709921))",52
11,1394,1500000US360470549002,360470549002,"Block Group 2, Census Tract 549, Kings County, New York",237,49,0,27,24,7,7,6,9,12,8,16,46,0,11,0,15,"POLYGON ((-73.96905 40.712482, -73.96886099999999 40.71265, -73.968469 40.712999, -73.967731 40.712595, -73.96578099999999 40.712861, -73.964462 40.712459, -73.961421 40.711349, -73.962035 40.710362, -73.96229199999999 40.709921, -73.963875 40.710297, -73.96677799999999 40.710627, -73.968524 40.71082, -73.968524 40.710046, -73.969612 40.71015999999999, -73.96905 40.712482))",26
